Computer Time,Timestamp,Time (Milli Sec.),Galvanic_Skin_Response,Heart_Rate,Skin_Temperature,Mood
 22:35:38,00:00:09,8937,482,66,21.97,RELAXED
 22:35:38,00:00:09,9150,480,66,31.74,RELAXED
 22:35:39,00:00:09,9362,481,66,23.93,RELAXED
 22:35:39,00:00:10,9575,483,70,37.11,RELAXED
 22:35:39,00:00:10,9787,479,70,23.93,RELAXED
 22:35:39,00:00:10,10000,475,76,25.39,RELAXED
 22:35:39,00:00:10,10212,466,76,27.83,RELAXED
 22:35:40,00:00:10,10425,468,76,22.46,RELAXED
 22:35:40,00:00:11,10638,470,76,25.39,RELAXED
 22:35:40,00:00:11,10850,470,77,37.6,RELAXED
 22:35:40,00:00:11,11063,471,77,26.37,RELAXED
 22:35:41,00:00:11,11275,474,77,41.5,RELAXED
 22:35:41,00:00:11,11488,472,77,25.39,RELAXED
 22:35:41,00:00:12,11700,473,78,20.51,RELAXED
 22:35:41,00:00:12,11913,475,78,41.99,RELAXED
 22:35:41,00:00:12,12126,473,78,21,RELAXED
 22:35:42,00:00:12,12338,476,78,24.9,RELAXED
 22:35:42,00:00:13,12551,476,75,37.6,RELAXED
 22:35:42,00:00:13,12763,474,75,23.93,RELAXED
 22:35:42,00:00:13,12976,478,75,27.34,RELAXED
 22:35:42,00:00:13,13188,476,75,37.6,RELAXED
 22:35:43,00:00:13,13401,476,75,20.02,RELAXED
 22:35:43,00:00:14,13614,479,75,24.9,RELAXED
 22:35:43,00:00:14,13826,476,75,31.25,RELAXED
 22:35:43,00:00:14,14039,478,75,41.99,RELAXED
 22:35:43,00:00:14,14252,480,74,37.11,RELAXED
 22:35:44,00:00:14,14464,476,74,25.88,RELAXED
 22:35:44,00:00:15,14676,479,74,19.53,RELAXED
 22:35:44,00:00:15,14888,476,74,20.51,RELAXED
 22:35:44,00:00:15,15101,475,77,19.53,RELAXED
 22:35:45,00:00:15,15313,478,77,29.79,RELAXED
 22:35:45,00:00:16,15526,472,77,24.9,RELAXED
 22:35:45,00:00:16,15738,468,77,28.32,RELAXED
 22:35:45,00:00:16,15951,471,77,35.16,RELAXED
 22:35:45,00:00:16,16163,469,77,21,RELAXED
 22:35:46,00:00:16,16376,471,81,28.81,SAD
 22:35:46,00:00:17,16589,473,81,37.6,SAD
 22:35:46,00:00:17,16801,469,81,23.93,SAD
 22:35:46,00:00:17,17014,473,81,32.23,SAD
 22:35:46,00:00:17,17226,473,81,18.07,SAD
 22:35:47,00:00:17,17438,472,75,21.48,RELAXED
 22:35:47,00:00:18,17651,475,75,28.81,RELAXED
 22:35:47,00:00:18,17864,474,75,27.83,RELAXED
 22:35:47,00:00:18,18076,474,75,21.48,RELAXED
 22:35:48,00:00:18,18289,476,71,29.79,RELAXED
 22:35:48,00:00:19,18501,473,71,24.9,RELAXED
 22:35:48,00:00:19,18714,475,71,40.53,RELAXED
 22:35:48,00:00:19,18926,477,71,25.88,RELAXED
 22:35:48,00:00:19,19139,474,71,32.71,RELAXED
 22:35:49,00:00:19,19351,477,71,26.86,RELAXED
 22:35:49,00:00:20,19564,476,71,41.02,RELAXED
 22:35:49,00:00:20,19776,475,71,23.44,RELAXED
